branchName, Run2, Run3
Jet_btagPNetTauVJet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Jet_btagRobustParTAK4B, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Jet_btagRobustParTAK4CvB, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Jet_btagRobustParTAK4CvL, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Jet_btagRobustParTAK4QG, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Jet_nSVs, NOT AVAILABLE, ROOT::VecOps::RVec<UChar_t>
Jet_svIdx1, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
Jet_svIdx2, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
LowPtElectron_electronIdx, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
LowPtElectron_photonIdx, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
Muon_bsConstrainedChi2, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Muon_bsConstrainedPt, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Muon_bsConstrainedPtErr, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Muon_mvaMuID, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Muon_mvaMuID_WP, NOT AVAILABLE, ROOT::VecOps::RVec<UChar_t>
Muon_svIdx, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
OtherPV_score, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_ecalPFClusterIso, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_energyRaw, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_esEffSigmaRR, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_esEnergyOverRawE, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_etaWidth, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_haloTaggerMVAVal, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_hasConversionTracks, NOT AVAILABLE, ROOT::VecOps::RVec<Bool_t>
Photon_hcalPFClusterIso, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_hoe_PUcorr, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_pfChargedIso, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_pfChargedIsoPFPV, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_pfChargedIsoWorstVtx, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_pfPhoIso03, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_pfRelIso03_all_quadratic, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_pfRelIso03_chg_quadratic, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_phiWidth, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_s4, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_seediEtaOriX, NOT AVAILABLE, ROOT::VecOps::RVec<Char_t>
Photon_seediPhiOriY, NOT AVAILABLE, ROOT::VecOps::RVec<Int_t>
Photon_sieip, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_sipip, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_trkSumPtHollowConeDR03, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_trkSumPtSolidConeDR04, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_x_calo, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_y_calo, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Photon_z_calo, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Rho_fixedGridRhoAll, NOT AVAILABLE, Float_t
Rho_fixedGridRhoFastjetAll, NOT AVAILABLE, Float_t
Rho_fixedGridRhoFastjetCentral, NOT AVAILABLE, Float_t
Rho_fixedGridRhoFastjetCentralCalo, NOT AVAILABLE, Float_t
Rho_fixedGridRhoFastjetCentralChargedPileUp, NOT AVAILABLE, Float_t
Rho_fixedGridRhoFastjetCentralNeutral, NOT AVAILABLE, Float_t
Tau_decayModePNet, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
Tau_eleIdx, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
Tau_idDecayModeNewDMs, NOT AVAILABLE, ROOT::VecOps::RVec<Bool_t>
Tau_idDeepTau2018v2p5VSe, NOT AVAILABLE, ROOT::VecOps::RVec<UChar_t>
Tau_idDeepTau2018v2p5VSjet, NOT AVAILABLE, ROOT::VecOps::RVec<UChar_t>
