branchName, type_Run2
FsrPhoton_eta, ROOT::VecOps::RVec<Float_t>
FsrPhoton_muonIdx, ROOT::VecOps::RVec<Int_t>
FsrPhoton_phi, ROOT::VecOps::RVec<Float_t>
FsrPhoton_pt, ROOT::VecOps::RVec<Float_t>
FsrPhoton_relIso03, ROOT::VecOps::RVec<Float_t>
GenDressedLepton_eta, ROOT::VecOps::RVec<Float_t>
GenDressedLepton_hasTauAnc, ROOT::VecOps::RVec<Bool_t>
GenDressedLepton_mass, ROOT::VecOps::RVec<Float_t>
GenDressedLepton_pdgId, ROOT::VecOps::RVec<Int_t>
GenDressedLepton_phi, ROOT::VecOps::RVec<Float_t>
GenDressedLepton_pt, ROOT::VecOps::RVec<Float_t>
GenIsolatedPhoton_eta, ROOT::VecOps::RVec<Float_t>
GenIsolatedPhoton_mass, ROOT::VecOps::RVec<Float_t>
GenIsolatedPhoton_phi, ROOT::VecOps::RVec<Float_t>
GenIsolatedPhoton_pt, ROOT::VecOps::RVec<Float_t>
GenJetAK8_eta, ROOT::VecOps::RVec<Float_t>
GenJetAK8_hadronFlavour, ROOT::VecOps::RVec<UChar_t>
GenJetAK8_mass, ROOT::VecOps::RVec<Float_t>
GenJetAK8_partonFlavour, ROOT::VecOps::RVec<Int_t>
GenJetAK8_phi, ROOT::VecOps::RVec<Float_t>
GenJetAK8_pt, ROOT::VecOps::RVec<Float_t>
GenJet_eta, ROOT::VecOps::RVec<Float_t>
GenJet_hadronFlavour, ROOT::VecOps::RVec<UChar_t>
GenJet_mass, ROOT::VecOps::RVec<Float_t>
GenJet_partonFlavour, ROOT::VecOps::RVec<Int_t>
GenJet_phi, ROOT::VecOps::RVec<Float_t>
GenJet_pt, ROOT::VecOps::RVec<Float_t>
GenMET_phi, Float_t
GenMET_pt, Float_t
GenPart_eta, ROOT::VecOps::RVec<Float_t>
GenPart_genPartIdxMother, ROOT::VecOps::RVec<Int_t>
GenPart_mass, ROOT::VecOps::RVec<Float_t>
GenPart_pdgId, ROOT::VecOps::RVec<Int_t>
GenPart_phi, ROOT::VecOps::RVec<Float_t>
GenPart_pt, ROOT::VecOps::RVec<Float_t>
GenPart_status, ROOT::VecOps::RVec<Int_t>
GenPart_statusFlags, ROOT::VecOps::RVec<Int_t>
GenVisTau_charge, ROOT::VecOps::RVec<Int_t>
GenVisTau_eta, ROOT::VecOps::RVec<Float_t>
GenVisTau_genPartIdxMother, ROOT::VecOps::RVec<Int_t>
GenVisTau_mass, ROOT::VecOps::RVec<Float_t>
GenVisTau_phi, ROOT::VecOps::RVec<Float_t>
GenVisTau_pt, ROOT::VecOps::RVec<Float_t>
GenVisTau_status, ROOT::VecOps::RVec<Int_t>
GenVtx_t0, Float_t
GenVtx_x, Float_t
GenVtx_y, Float_t
GenVtx_z, Float_t
Generator_binvar, Float_t
Generator_id1, Int_t
Generator_id2, Int_t
Generator_scalePDF, Float_t
Generator_weight, Float_t
Generator_x1, Float_t
Generator_x2, Float_t
Generator_xpdf1, Float_t
Generator_xpdf2, Float_t
HLT_AK4CaloJet100, Bool_t
HLT_AK4CaloJet120, Bool_t
HLT_AK4CaloJet30, Bool_t
HLT_AK4CaloJet40, Bool_t
HLT_AK4CaloJet50, Bool_t
HLT_AK4CaloJet80, Bool_t
HLT_AK4PFJet100, Bool_t
HLT_AK4PFJet120, Bool_t
HLT_AK4PFJet30, Bool_t
HLT_AK4PFJet50, Bool_t
HLT_AK4PFJet80, Bool_t
HLT_AK8PFHT750_TrimMass50, Bool_t
HLT_AK8PFHT800_TrimMass50, Bool_t
HLT_AK8PFHT850_TrimMass50, Bool_t
HLT_AK8PFHT900_TrimMass50, Bool_t
HLT_AK8PFJet140, Bool_t
HLT_AK8PFJet15, Bool_t
HLT_AK8PFJet200, Bool_t
HLT_AK8PFJet25, Bool_t
HLT_AK8PFJet260, Bool_t
HLT_AK8PFJet320, Bool_t
HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p1, Bool_t
HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p17, Bool_t
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2, Bool_t
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np4, Bool_t
HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_p02, Bool_t
HLT_AK8PFJet360_TrimMass30, Bool_t
HLT_AK8PFJet380_TrimMass30, Bool_t
HLT_AK8PFJet40, Bool_t
HLT_AK8PFJet400, Bool_t
HLT_AK8PFJet400_TrimMass30, Bool_t
HLT_AK8PFJet420_TrimMass30, Bool_t
HLT_AK8PFJet450, Bool_t
HLT_AK8PFJet500, Bool_t
HLT_AK8PFJet550, Bool_t
HLT_AK8PFJet60, Bool_t
HLT_AK8PFJet80, Bool_t
HLT_AK8PFJetFwd140, Bool_t
HLT_AK8PFJetFwd15, Bool_t
HLT_AK8PFJetFwd200, Bool_t
HLT_AK8PFJetFwd25, Bool_t
HLT_AK8PFJetFwd260, Bool_t
HLT_AK8PFJetFwd320, Bool_t
HLT_AK8PFJetFwd40, Bool_t
HLT_AK8PFJetFwd400, Bool_t
HLT_AK8PFJetFwd450, Bool_t
HLT_AK8PFJetFwd500, Bool_t
HLT_AK8PFJetFwd60, Bool_t
HLT_AK8PFJetFwd80, Bool_t
HLT_BTagMu_AK4DiJet110_Mu5, Bool_t
HLT_BTagMu_AK4DiJet110_Mu5_noalgo, Bool_t
HLT_BTagMu_AK4DiJet170_Mu5, Bool_t
HLT_BTagMu_AK4DiJet170_Mu5_noalgo, Bool_t
HLT_BTagMu_AK4DiJet20_Mu5, Bool_t
HLT_BTagMu_AK4DiJet20_Mu5_noalgo, Bool_t
HLT_BTagMu_AK4DiJet40_Mu5, Bool_t
HLT_BTagMu_AK4DiJet40_Mu5_noalgo, Bool_t
HLT_BTagMu_AK4DiJet70_Mu5, Bool_t
